N,threads,schedule,chunk,seq_time,par_time,speedup,efficiency
128,1,static,1,0.002396607,0.001505440,1.591964476,1.591964476
128,1,static,4,0.001567162,0.001680021,0.932822864,0.932822864
128,1,static,16,0.001490462,0.001551110,0.960900259,0.960900259
128,1,static,32,0.001540466,0.001639497,0.939596718,0.939596718
128,1,static,64,0.001608285,0.001894598,0.848879287,0.848879287
128,4,static,1,0.001499934,0.000661038,2.269058662,0.567264666
128,4,static,4,0.001633540,0.000743895,2.195928189,0.548982047
128,4,static,16,0.001429910,0.000444060,3.220082872,0.805020718
128,4,static,32,0.001430929,0.000442769,3.231773227,0.807943307
128,4,static,64,0.001443220,0.000907500,1.590325069,0.397581267
128,8,static,1,0.001453966,0.000632223,2.299767645,0.287470956
128,8,static,4,0.001518911,0.000456110,3.330141852,0.416267731
128,8,static,16,0.001437739,0.000603645,2.381762460,0.297720307
128,8,static,32,0.001434582,0.000463199,3.097118085,0.387139761
128,8,static,64,0.001456476,0.000821138,1.773728655,0.221716082
128,16,static,1,0.001436763,0.000742411,1.935266315,0.120954145
128,16,static,4,0.001440254,0.000612369,2.351938129,0.146996133
128,16,static,16,0.001837858,0.000690746,2.660685693,0.166292856
128,16,static,32,0.001868601,0.000767125,2.435849438,0.152240590
128,16,static,64,0.001428539,0.000888338,1.608102997,0.100506437
128,1,dynamic,1,0.001430497,0.001511387,0.946479624,0.946479624
128,1,dynamic,4,0.001701852,0.001782498,0.954756751,0.954756751
128,1,dynamic,16,0.001512083,0.001634344,0.925192616,0.925192616
128,1,dynamic,32,0.001471605,0.001564932,0.940363543,0.940363543
128,1,dynamic,64,0.001428985,0.001661901,0.859849654,0.859849654
128,4,dynamic,1,0.001441752,0.000480314,3.001686397,0.750421599
128,4,dynamic,4,0.001479974,0.000498427,2.969289384,0.742322346
128,4,dynamic,16,0.001437332,0.000550626,2.610359845,0.652589961
128,4,dynamic,32,0.001429683,0.000448666,3.186519594,0.796629898
128,4,dynamic,64,0.001466710,0.000987282,1.485603911,0.371400978
128,8,dynamic,1,0.001436857,0.000481438,2.984510986,0.373063873
128,8,dynamic,4,0.001600117,0.000425906,3.756972196,0.469621524
128,8,dynamic,16,0.001429956,0.000411147,3.477967734,0.434745967
128,8,dynamic,32,0.001434237,0.000477330,3.004707435,0.375588429
128,8,dynamic,64,0.001447261,0.001048634,1.380139305,0.172517413
128,16,dynamic,1,0.001473276,0.000790603,1.863483948,0.116467747
128,16,dynamic,4,0.001445392,0.000472923,3.056294576,0.191018411
128,16,dynamic,16,0.001459817,0.000571613,2.553855493,0.159615968
128,16,dynamic,32,0.001450589,0.000632734,2.292573182,0.143285824
128,16,dynamic,64,0.002000772,0.000979875,2.041864524,0.127616533
256,1,static,1,0.014075512,0.014675472,0.959118180,0.959118180
256,1,static,4,0.013508967,0.013353449,1.011646280,1.011646280
256,1,static,16,0.014314511,0.014504862,0.986876745,0.986876745
256,1,static,32,0.013757576,0.014168165,0.971020312,0.971020312
256,1,static,64,0.013761115,0.013984657,0.984015196,0.984015196
256,4,static,1,0.013842895,0.003714200,3.727019277,0.931754819
256,4,static,4,0.013672470,0.005606895,2.438510084,0.609627521
256,4,static,16,0.013468610,0.003651902,3.688108279,0.922027070
256,4,static,32,0.014114594,0.003664145,3.852083910,0.963020978
256,4,static,64,0.013366858,0.004118347,3.245685223,0.811421306
